DM Object: BaryDM 1 MPI processes
  type: plex
BaryDM in 3 dimensions:
[0]: 587 (3)
[0]: 588 (3)
[0]: 589 (3)
[0]: 590 (3)
[0]: 591 (3)
[0]: 592 (3)
[0]: 593 (3)
[0]: 594 (3)
[0]: 595 (3)
[0]: 596 (3)
[0]: 597 (3)
[0]: 598 (3)
[0]: 599 (3)
[0]: 600 (3)
[0]: 601 (3)
[0]: 602 (3)
[0]: 603 (3)
[0]: 604 (3)
[0]: 605 (3)
[0]: 606 (3)
[0]: 607 (3)
[0]: 608 (3)
[0]: 609 (3)
[0]: 610 (3)
[0]: 611 (3)
[0]: 612 (3)
[0]: 613 (3)
[0]: 614 (3)
[0]: 615 (3)
[0]: 616 (3)
[0]: 617 (3)
[0]: 618 (3)
[0]: 619 (3)
[0]: 620 (3)
[0]: 621 (3)
[0]: 622 (3)
[0]: 623 (3)
[0]: 624 (3)
[0]: 625 (3)
[0]: 626 (3)
[0]: 627 (3)
[0]: 628 (3)
[0]: 629 (3)
[0]: 630 (3)
[0]: 631 (3)
[0]: 632 (3)
[0]: 633 (3)
[0]: 634 (3)
[0]: 635 (3)
[0]: 636 (3)
[0]: 637 (3)
[0]: 638 (3)
[0]: 639 (3)
[0]: 640 (3)
[0]: 641 (3)
[0]: 642 (3)
[0]: 643 (3)
[0]: 644 (3)
[0]: 645 (3)
[0]: 646 (3)
[0]: 647 (3)
[0]: 648 (3)
[0]: 649 (3)
[0]: 650 (3)
[0]: 651 (3)
[0]: 652 (3)
[0]: 653 (3)
[0]: 654 (3)
[0]: 655 (3)
[0]: 656 (3)
[0]: 0 (6)
[0]: 1 (6)
[0]: 2 (6)
[0]: 3 (6)
[0]: 4 (6)
[0]: 5 (6)
[0]: 6 (6)
[0]: 7 (6)
[0]: 8 (6)
[0]: 9 (6)
[0]: 10 (6)
[0]: 11 (6)
[0]: 12 (6)
[0]: 13 (6)
[0]: 14 (6)
[0]: 15 (6)
[0]: 16 (6)
[0]: 17 (6)
[0]: 18 (6)
[0]: 19 (6)
[0]: 20 (6)
[0]: 21 (6)
[0]: 22 (6)
[0]: 23 (6)
[0]: 24 (6)
[0]: 25 (6)
[0]: 26 (6)
[0]: 27 (6)
[0]: 28 (6)
[0]: 29 (6)
[0]: 30 (6)
[0]: 31 (6)
[0]: 32 (6)
[0]: 33 (6)
[0]: 34 (6)
[0]: 35 (6)
[0]: 36 (6)
[0]: 37 (6)
[0]: 38 (6)
[0]: 39 (6)
[0]: 40 (6)
[0]: 41 (6)
[0]: 42 (6)
[0]: 43 (6)
[0]: 44 (6)
[0]: 45 (6)
[0]: 46 (6)
[0]: 47 (6)
[0]: 48 (6)
[0]: 49 (6)
[0]: 50 (6)
[0]: 51 (6)
[0]: 52 (6)
[0]: 53 (6)
[0]: 54 (6)
[0]: 55 (6)
[0]: 56 (6)
[0]: 57 (6)
[0]: 58 (6)
[0]: 59 (6)
[0]: 60 (6)
[0]: 61 (6)
[0]: 62 (6)
[0]: 63 (6)
[0]: 64 (6)
[0]: 65 (6)
[0]: 66 (6)
[0]: 67 (6)
[0]: 68 (6)
[0]: 69 (6)
[0]: 70 (6)
[0]: 71 (6)
[0]: 72 (6)
[0]: 73 (6)
[0]: 74 (6)
[0]: 75 (6)
[0]: 76 (6)
[0]: 77 (6)
[0]: 78 (6)
[0]: 79 (6)
[0]: 80 (6)
[0]: 81 (6)
[0]: 82 (6)
[0]: 83 (6)
[0]: 84 (6)
[0]: 85 (6)
[0]: 86 (6)
[0]: 87 (6)
[0]: 88 (6)
[0]: 89 (6)
[0]: 90 (6)
[0]: 91 (6)
[0]: 92 (6)
[0]: 93 (6)
[0]: 94 (6)
[0]: 95 (6)
[0]: 96 (6)
[0]: 97 (6)
[0]: 98 (6)
[0]: 99 (6)
[0]: 100 (6)
[0]: 101 (6)
[0]: 102 (6)
[0]: 103 (6)
[0]: 104 (6)
[0]: 105 (6)
[0]: 106 (6)
[0]: 107 (6)
[0]: 108 (6)
[0]: 109 (6)
[0]: 110 (6)
[0]: 111 (6)
[0]: 112 (6)
[0]: 113 (6)
[0]: 114 (6)
[0]: 115 (6)
[0]: 116 (6)
[0]: 117 (6)
[0]: 118 (6)
[0]: 119 (6)
[0]: 120 (6)
[0]: 121 (6)
[0]: 122 (6)
[0]: 123 (6)
[0]: 124 (6)
[0]: 125 (6)
[0]: 126 (6)
[0]: 127 (6)
[0]: 128 (6)
[0]: 129 (6)
[0]: 130 (6)
[0]: 131 (6)
[0]: 132 (6)
[0]: 133 (6)
[0]: 134 (6)
[0]: 135 (6)
[0]: 136 (6)
[0]: 137 (6)
[0]: 138 (6)
[0]: 139 (6)
[0]: 140 (6)
[0]: 141 (6)
[0]: 142 (6)
[0]: 143 (6)
[0]: 144 (6)
[0]: 145 (6)
[0]: 146 (6)
[0]: 147 (6)
[0]: 148 (6)
[0]: 149 (6)
[0]: 150 (6)
[0]: 151 (6)
[0]: 152 (6)
[0]: 153 (6)
[0]: 154 (6)
[0]: 155 (6)
[0]: 156 (6)
[0]: 157 (6)
[0]: 158 (6)
[0]: 159 (6)
[0]: 160 (6)
[0]: 161 (6)
[0]: 162 (6)
[0]: 163 (6)
[0]: 164 (6)
[0]: 165 (6)
[0]: 166 (6)
[0]: 167 (6)
[0]: 168 (6)
[0]: 169 (6)
[0]: 170 (6)
[0]: 171 (6)
[0]: 172 (6)
[0]: 173 (6)
[0]: 174 (6)
[0]: 175 (6)
[0]: 176 (6)
[0]: 177 (6)
[0]: 178 (6)
[0]: 179 (6)
[0]: 180 (6)
[0]: 181 (6)
[0]: 182 (6)
[0]: 183 (6)
[0]: 184 (6)
[0]: 185 (6)
[0]: 186 (6)
[0]: 187 (6)
[0]: 188 (6)
[0]: 189 (6)
[0]: 190 (6)
[0]: 191 (6)
[0]: 192 (0)
[0]: 193 (0)
[0]: 194 (0)
[0]: 195 (0)
[0]: 196 (0)
[0]: 197 (0)
[0]: 198 (0)
[0]: 199 (0)
[0]: 200 (0)
[0]: 201 (0)
[0]: 202 (0)
[0]: 203 (0)
[0]: 204 (0)
[0]: 205 (0)
[0]: 206 (0)
[0]: 207 (0)
[0]: 208 (0)
[0]: 209 (0)
[0]: 210 (0)
[0]: 211 (0)
[0]: 212 (0)
[0]: 213 (0)
[0]: 214 (0)
[0]: 215 (0)
[0]: 216 (0)
[0]: 217 (0)
[0]: 218 (0)
[0]: 219 (0)
[0]: 220 (0)
[0]: 221 (0)
[0]: 222 (0)
[0]: 223 (0)
[0]: 224 (0)
[0]: 225 (0)
[0]: 226 (0)
[0]: 227 (0)
[0]: 228 (0)
[0]: 229 (0)
[0]: 230 (0)
[0]: 231 (0)
[0]: 232 (0)
[0]: 233 (0)
[0]: 234 (0)
[0]: 235 (0)
[0]: 236 (0)
[0]: 237 (0)
[0]: 238 (0)
[0]: 239 (0)
[0]: 240 (0)
[0]: 241 (0)
[0]: 242 (0)
[0]: 243 (0)
[0]: 244 (0)
[0]: 245 (0)
[0]: 246 (0)
[0]: 247 (0)
[0]: 248 (0)
